acousticness,danceability,energy,speechiness,valence,BPM,song_title,artists,artists_url,date_added,album_cover,popularity,url,date_added_year
0.128,0.653,0.483,0.0333,0.421,97.981,Blame,BLÜ EYES,2gI1WfmpFmmgSRojy4Jup2,2021-09-13,https://i.scdn.co/image/ab67616d0000b27399fd27ac7e56c401c6235ddf,35,26WeyLZHXO3dZAgpD51FDr,2021
0.00635,0.242,0.746,0.0361,0.128,127.997,Gold Dust,Galantis,4sTQVOfp9vEMCemLw50sbu,2021-09-11,https://i.scdn.co/image/ab67616d0000b2732b517912fd69652ff10d8e11,51,3lcuERI7leyYwfFGv1ZP5e,2021
0.198,0.77,0.787,0.0583,0.513,119.986,Don't Be Shy,"Tiësto,KAROL G","2o5jDhtHVPhrJdv3cEQ99Z,790FomKkXshlbRYZFtlgla",2021-09-07,https://i.scdn.co/image/ab67616d0000b273c9bdd95ff143d01664054fc9,90,0bI7K9Becu2dtXK1Q3cZNB,2021
0.121,0.614,0.801,0.13,0.524,125.95,Lasting Lover - Tiësto Remix,"Sigala,James Arthur,Tiësto","1IueXOQyABrMOprrzwQJWN,4IWBUUAFIplrNtaOHcJPRM,2o5jDhtHVPhrJdv3cEQ99Z",2021-09-07,https://i.scdn.co/image/ab67616d0000b2738f57d5fbe3c9add168929d38,62,3fIkn0ksMuH91GpflwmpJf,2021
0.105,0.519,0.761,0.0445,0.309,124.947,You Got The Love,"Never Sleeps,Afrojack,Chico Rose","7BUaQCq7sFUMJqkWPqApXE,4D75GcNG95ebPtNvoNVXhz,5OdVywqKqyCWwfE2fZb7IX",2021-08-31,https://i.scdn.co/image/ab67616d0000b27397d993b68fb693379819378a,62,1O3Jlr6ksM6meUe1atDAxY,2021
0.7,0.675,0.563,0.0293,0.571,108.968,Wish You Were Here (feat. Wink XY),"Vicetone,Willim,Wink XY","0daugAjUgbJSqdlyYNwIbT,5bp5XaFz8Py4UFEhQ6FZRk,2ZBz7grUJ1eyFB0oIVT7d3",2021-08-31,https://i.scdn.co/image/ab67616d0000b2733a8d15d1b2774fb9c8cab1c3,61,3h6M4K3mBtb2ywoYhG7954,2021
0.715,0.664,0.57,0.0287,0.623,108.943,平行线 (feat. Wink XY),"Vicetone,Willim,Wink XY","0daugAjUgbJSqdlyYNwIbT,5bp5XaFz8Py4UFEhQ6FZRk,2ZBz7grUJ1eyFB0oIVT7d3",2021-08-31,https://i.scdn.co/image/ab67616d0000b2733a8d15d1b2774fb9c8cab1c3,40,6xRVaq60XMBztdzHIJVEgD,2021
0.0169,0.594,0.64,0.033,0.492,92.871,Chasing Stars (feat. James Bay),"Alesso,Marshmello,James Bay","4AVFqumd2ogHFlRbKIjp1t,64KEffDW9EtZ1y2vBYgq8T,4EzkuveR9pLvDVFNx6foYD",2021-08-20,https://i.scdn.co/image/ab67616d0000b2739489ebf0074a28c554637780,77,6y6xhAgZjvxy5kR5rigpY3,2021
0.861,0.204,0.268,0.0368,0.0454,120.038,Tessa,Steve Jablonsky,5Il8YjuVAWkWNH2xgjFMpF,2021-08-18,https://i.scdn.co/image/ab67616d0000b2733501824e77810c62c5abe7e6,62,2MaUwANhrU6KF8AK71ezsX,2021
0.0206,0.688,0.725,0.0456,0.224,104.018,Run It (feat. Rick Ross & Rich Brian),"DJ Snake,Rick Ross,Rich Brian","540vIaP2JwjQb9dm3aArA4,1sBkRIssrMs1AbVkOJbc7a,2IDLDx25HU1nQMKde4n61a",2021-08-16,https://i.scdn.co/image/ab67616d0000b273077d7f12206ef646ad10ceac,58,282R6Lvm9nLtpx8AzUwJe0,2021
0.625,0.658,0.417,0.0366,0.0748,171.974,0321,space x,5MfPm7ai5Y5vRePZ4MC9XL,2021-08-15,https://i.scdn.co/image/ab67616d0000b273ece31db170b0998a47b28f16,62,1pbb71pOKB5iqfkju4NmPj,2021
0.907,0.558,0.296,0.0427,0.463,76.04,Life Is Worth Living,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,2021-08-13,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,63,4yWCzA44dQyp0SoeM81bUb,2021
0.262,0.647,0.642,0.0743,0.48,90.045,Love Runs Out (feat. G-Eazy & Sasha Alex Sloan),"Martin Garrix,G-Eazy,Sasha Alex Sloan","60d24wfXkVzDSfLS6hyCjZ,02kJSzxNuaWGqwubyUba0Z,4xnihxcoXWK3UqryOSnbw5",2021-08-07,https://i.scdn.co/image/ab67616d0000b27356c47605c954e4733893416d,70,3jbAzLVcHiI5hYSkcKe1Ty,2021
